workstream_id,plane_id,priority,repo_or_surface,work_item,why_it_matters,owner_role,suggested_due_window,exit_signal
WP-001,SDP-1,P0,policy-fabric,Promote Policy Fabric to the canonical governance/control anchor in central strategy and registry-linked docs,Fixes the largest control-plane under-modeling gap,governance_steward,0-30d,Canonical strategy and dashboard both identify policy-fabric as the primary anchor
WP-002,CROSS,P0,sociosphere,"Commit v0.2 registry, matrix, schema, validator, workflow, dashboard, and review notes",Creates the corrected machine-readable governance baseline,governance_steward,0-30d,Validation workflow green on main against v0.2 assets
WP-003,CROSS,P0,socioprophet,"Commit v0.2 strategy, ADR-0001, and rollout plan",Aligns umbrella narrative to corrected anchor map,governance_steward,0-30d,Strategy docs merged under docs/strategy/
WP-004,CROSS,P0,socioprophet config/surfaces.json,Add a reconciliation rule and later CI path against config/surfaces.json,Prevents surface/package drift from outrunning governance,governance_steward,31-60d,Reconciliation check documented and stubbed in automation backlog
WP-005,SDP-3,P0,cloudshell-fog + cloud docs,Bind cloudshell-fog into Cloud Suite and execution-plane packaging,Turns Cloud from a stub label into a concrete operational lane,execution_plane_steward,31-60d,Cloud docs explicitly reference cloudshell-fog and its role
WP-006,SDP-4,P0,memory-mesh,Define memory runtime validation and adapter governance path,Makes semantic/runtime claims measurable,knowledge_standards_steward,31-60d,Memory runtime validation artifact exists or is CI-runnable
WP-007,SDP-4,P0,ontogenesis,Define ontology governance as a first-class semantic gate in planning and docs,Closes the ontology-governance omission,knowledge_standards_steward,31-60d,SHACL/promotion gate role is explicit in central docs and anchor planning
WP-008,SDP-4,P1,semantic-serdes,"Decide long-term authority boundary relative to standards, ontology, and memory runtime",Reduces semantic contract ambiguity,knowledge_standards_steward,61-90d,ADR recorded and registry wording updated if needed
WP-009,SDP-5,P0,digital-trust + HDT + Entity Analytics,Treat Digital Trust as an active package boundary and align it with HDT and Entity Analytics,Fixes underpackaging of identity/trust surfaces,identity_trust_steward,31-60d,Shared packaging note or docs alignment committed
WP-010,SDP-7,P0,organizations surface,Upgrade Organizations packaging to Academy-level coherence,Improves institutional entry clarity,learning_delivery_steward,61-90d,Organizations docs reach Academy quality bar
WP-011,CROSS,P1,repo drop pack,Regenerate repo-drop assets from v0.2 and retire the v0.1 pack,Eliminates stale merge guidance,governance_steward,0-30d,New drop pack and PR bodies are published in sandbox
WP-012,CROSS,P1,umbrella README/About,Refresh legacy umbrella narrative language,Reduces repo/site narrative debt,governance_steward,31-60d,README/About copy no longer leads with legacy phrasing
